time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.94100561152e-08,1.59370783931e-07,9.99975144769,0.000193278865622,6.28288235805,0.0,1.27375373153e-05,1.41998280122e-05,-0.00828509758985,0.00899024551585,-0.0177817524986,0.0,401.4279646142323,399.81137286316476,401.1250739486873,401.940527319368
0.12000000000000001,1.15665171525e-05,7.15743835357e-06,10.0028777273,0.000492022519891,6.28156332625,0.0,0.000494405275173,0.000264720655867,0.112489464943,-0.00457680567404,-0.0320962759364,0.0,443.66989554821293,442.49309583158094,444.357795726786,443.2444347091282
0.18,8.08277719154e-05,3.21618808175e-05,10.01234431,6.2829445987,6.28020915913,0.0,0.00197451573725,0.00052604511233,0.203050507697,-0.0353986163841,-0.00825464767627,0.0,432.42236560272295,434.42561908896477,435.69836113783816,433.1143065909465
0.23999999999999996,0.000270149602815,4.89406308625e-05,10.0300261553,6.28060185425,6.279241939,0.0,0.00440975560472,-0.000220673010904,0.386299138242,-0.0475730442252,-0.0405320032388,0.0,463.71960806813433,461.1775597566063,463.2807341640883,462.3219284927843
0.3,0.000621999277801,-2.54510665419e-05,10.0553876863,6.27825239116,6.27656445381,0.0,0.00756717102148,-0.00251013657529,0.459056224423,-0.0261540439117,-0.0544130536372,0.0,428.6372474066395,427.45487467800496,427.73056543587944,429.5495546792332
0.36000000000000004,0.00124527112105,-0.000298484120214,10.0886921756,6.27641295116,6.27326682145,0.0,0.013587259977,-0.00678521792853,0.650999314929,-0.0416675978677,-0.0560781781123,0.0,465.08205727962667,464.94975878661023,466.42723576395923,465.21396416185013
0.4200000000000001,0.00222754371955,-0.000820375148091,10.125983599,6.27415498647,6.27040275461,0.0,0.0193969412646,-0.0107972614597,0.592077058618,-0.0305879178378,-0.0348184579574,0.0,383.049744536241,385.0639469726214,382.690187600241,383.7422654517295
0.48000000000000015,0.00366046235537,-0.00165991430685,10.1642987817,6.27209145872,6.26852892731,0.0,0.0285655312814,-0.0173823253924,0.685039370185,-0.043357540734,-0.0248789840119,0.0,434.9195580662196,435.7507407824172,435.3410257246159,434.2708202690442
0.5400000000000001,0.00568146412008,-0.00294080391139,10.2083045359,6.26905916944,6.26665556545,0.0,0.0389663191654,-0.0255925368804,0.781751359839,-0.0714854175421,-0.0485933848037,0.0,437.6485467375332,435.6700533370841,437.30465175645725,434.95371902918225
0.6000000000000002,0.00841054859444,-0.00481834918439,10.2604649347,6.26462861112,6.26380865311,0.0,0.0523266794686,-0.0374829045764,0.956784332361,-0.0790283734485,-0.0452525869965,0.0,461.1617282958605,461.4242315350881,460.6058527992723,460.00494155984694
0.6600000000000003,0.0120073349374,-0.00751448613238,10.3232366986,6.25937430954,6.26153607752,0.0,0.0678428730677,-0.0529400954923,1.13542958615,-0.116081926837,-0.0261634377593,0.0,462.24133079304295,463.74230848230144,462.890225161142,459.95863543194673
0.7200000000000003,0.0165121788514,-0.0111877014659,10.3934912319,6.25238400526,6.25992388728,0.0,0.0824722055607,-0.0701801644517,1.20629339439,-0.117364252157,-0.028321222112,0.0,430.07007882127067,429.88710511647184,428.0697392712299,427.94788725806774
0.7800000000000004,0.0218869781027,-0.0159792685273,10.4662936866,6.24540517973,6.25781985473,0.0,0.0968520564907,-0.0901641049734,1.2204138738,-0.114293307197,-0.0540875692678,0.0,411.67700695923054,409.3901711505049,410.16761438441796,410.4268765289463
0.8400000000000004,0.0282665820207,-0.0222440755924,10.5437395813,6.23843666055,6.25458720954,0.0,0.116147007363,-0.119402704722,1.36091708444,-0.120118450056,-0.0534605593829,0.0,451.68818955399087,451.7368750286043,451.1720480454571,450.68965214138615
0.9000000000000005,0.0357951940242,-0.0302914935817,10.6268930839,6.23153954934,6.2511086009,0.0,0.135119070229,-0.149507050156,1.41076179794,-0.106233881005,-0.0690230789046,0.0,423.22592220991487,421.8818443257464,422.6557699438752,423.8379663096191
0.9600000000000005,0.0446257532273,-0.0404264667599,10.7158990997,6.22486276311,6.2474740871,0.0,0.159645006182,-0.189021448791,1.55586152061,-0.123987374949,-0.0475341939933,0.0,452.5421535254937,454.2657201025364,454.14449526699707,452.7074516351865
1.0200000000000005,0.0549411202311,-0.0529812059231,10.8118859663,6.2171995684,6.24445977666,0.0,0.184488867476,-0.230217539089,1.64351495718,-0.136475927869,-0.056282869745,0.0,436.2431982095418,435.51044738367256,436.55128870183745,435.49266939619633
1.0800000000000005,0.0668280894439,-0.0681973644239,10.9135827247,6.20875924606,6.24056897948,0.0,0.21209729788,-0.277826698068,1.74614323976,-0.150751384882,-0.0935100772745,0.0,443.26609290298364,440.1927097516804,441.1367948607432,439.9377122154797
1.1400000000000006,0.0803875183143,-0.0863199983189,11.0197373114,6.19967852024,6.23483477439,0.0,0.240413673804,-0.327106658288,1.79216998326,-0.152559237242,-0.100042362745,0.0,424.64626289410097,424.0772962573712,422.51481213589807,422.33604520949984
1.2000000000000006,0.0960436150648,-0.108069365756,11.1344665609,6.19132183913,6.23018139664,0.0,0.282066391697,-0.398899894464,2.03159975938,-0.121026240386,-0.0519106034383,0.0,481.28906236693206,484.9127033086765,482.5457985407331,484.9031368744368
1.2600000000000007,0.114170835036,-0.134095696562,11.261070611,6.18434942316,6.22729803768,0.0,0.322487198081,-0.469401191602,2.1881339766,-0.107992246624,-0.0412892363582,0.0,459.4295388397698,460.2695037376971,459.4506224797029,460.47109405998447
